id;codigo;nome
1;69;REITORIA - BRASÍLIA
2;140;SECRETARIA DE ADMINISTRACAO ACADEMICA - BRASÍLIA
3;643;CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO - BRASÍLIA
4;640;CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL - BRASÍLIA
5;314;CENTRO DE EXCELÊNCIA EM TURISMO - BRASÍLIA
6;650;CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN - BRASÍLIA
7;316;CENTRO INTEGRADO ORDENAMENTO TERRITORIAL - BRASÍLIA
8;1448;CENTRO INTERNACIONAL DE BIOÉTICA E HUMANIDADES - BRASÍLIA
9;677;CENTRO UNB CERRADO - BRASÍLIA
10;130;DECANATO DE ENSINO DE GRADUACAO / DEG - BRASÍLIA
11;170;DECANATO DE PÓS-GRADUAÇÃO / DPG - BRASÍLIA
12;158;DECANATO EXTENSÃO - BRASÍLIA
13;351;DEPARTAMENTO DE AUDIOVISUAIS E PUBLICIDADE/DAP - BRASÍLIA
14;345;DEPARTAMENTO DE COMUNICAÇÃO ORGANIZACIONAL/COM - BRASÍLIA
15;660;DEPARTAMENTO DE DESIGN (11.01.01.14.04) - BRASÍLIA
16;449;DEPARTAMENTO DE ENGENHARIA MECANICA - BRASÍLIA
17;479;DEPARTAMENTO DE ESTUDOS LATINO AMERICANO - BRASÍLIA
18;678;DEPARTAMENTO DE FARMACIA - BRASÍLIA
19;791;DEPARTAMENTO DE GESTAO DE POLITICAS PUBL - BRASÍLIA
20;352;DEPARTAMENTO DE JORNALISMO/JOR - BRASÍLIA
21;518;DEPARTAMENTO DE MATEMÁTICA - BRASÍLIA
22;390;DEPARTAMENTO DE MÉTODOS E TÉCNICAS - BRASÍLIA
23;391;DEPARTAMENTO DE POLÍTICAS PÚBLICAS E GESTÃO DA EDUCAÇÃO - BRASÍLIA
24;592;DEPARTAMENTO DE PSICOLOGIA CLÍNICA - BRASÍLIA
25;483;DEPARTAMENTO DE SOCIOLOGIA - BRASÍLIA
26;392;DEPARTAMENTO DE TEORIA E FUNDAMENTOS - BRASÍLIA
27;327;DEPTO ADMINISTRAÇÃO - BRASÍLIA
28;481;DEPTO ANTROPOLOGIA - BRASÍLIA
29;492;DEPTO ARTES CÊNICAS - BRASÍLIA
