id;turma;periodo;professor_id;horario;vagas_ocupadas;total_vagas;local;disciplina_id;departamento_id
1;01;2023.1;50;24N34;45;50;PAT AT 029;1;34
2;03;2023.1;28;35M12;48;50;PAT AT 037;1;34
3;04;2023.1;8;35T23;50;50;PJC BT 020;1;34
4;01;2023.1;39;35T23;43;43;PJC BT 068;2;34
5;01;2023.1;52;246T23;40;42;PJC BT 028;3;34
6;01;2023.1;3;246T23;40;42;PJC BT 028;3;34
7;02;2023.1;3;256N12;40;41;PJC BT 020;3;34
8;03;2023.1;25;3M12 56M34;40;42;PJC BT 092;3;34
9;04;2023.1;6;235T45;42;42;PJC BT 117;3;34
10;04;2023.1;19;235T45;42;42;PJC BT 117;3;34
11;05;2023.1;43;2M34 4M1234;37;40;PJC BT 068;3;34
12;05;2023.1;20;2M34 4M1234;37;40;PJC BT 068;3;34
13;06;2023.1;34;235M12;42;40;PJC BT 085;3;34
14;07;2023.1;11;345N12;47;48;PJC BT 053;3;34
15;07;2023.1;43;345N12;47;48;PJC BT 053;3;34
16;08;2023.1;24;46M34  2T23;86;80;FGA - SALA I9/SALA I10;3;34
17;09;2023.1;14;35M12  2T45;78;80;FGA - SALA I9 / SALA I10;3;34
18;10;2023.1;9;46M34  2T23;83;84;FGA - SALA I10/SALA S10;3;34
19;11;2023.1;49;2M34  46T23;71;80;FGA - LAB MOCAP/SALA I10;3;34
20;12;2023.1;42;35M12  2T45;81;80;FGA - SALA S9/SALA S10;3;34
21;01;2023.1;40;35N34;51;50;PAT AT 021;4;34
22;01;2023.1;5;46T45;23;25;ICC ANF.19;5;34
23;02;2023.1;47;3N12 4N34;25;25;ICC ANF.19;5;34
24;03;2023.1;5;35T23;25;25;ICC ANF.19;5;34
25;04;2023.1;47;3N12 4N34;22;25;ICC ANF.19;5;34
26;05;2023.1;47;3N12 4N34;21;25;ICC ANF.19;5;34
27;06;2023.1;5;46T45;22;25;ICC ANF.19;5;34
28;07;2023.1;5;3T23 6T45;23;25;ICC ANF.19;5;34
29;08;2023.1;5;4T45 5T23;30;30;ICC ANF.19;5;34
30;09;2023.1;5;4T45 5T23;29;30;ICC ANF.19;5;34
31;10;2023.1;47;3N12 4N34;30;30;ICC ANF.19;5;34
32;11;2023.1;5;35T23;30;30;ICC ANF.19;5;34
33;12;2023.1;5;3T23 6T45;27;30;ICC ANF.19;5;34
34;03;2023.1;11;24N12;19;20;PJC BT 005;6;34
35;04;2023.1;2;24M34;16;20;BSA N A1 07/11;6;34
36;01;2023.1;34;35M34;50;50;PJC BT 021;7;34
37;02;2023.1;13;46M34;49;50;PJC BT 053;7;34
38;03;2023.1;25;24T45;35;40;PJC BT 036;7;34
39;04;2023.1;38;35M34;50;50;PJC BT 029;7;34
40;05;2023.1;20;46N12;48;50;PJC BT 036;7;34
41;06;2023.1;8;35T45;39;40;PJC BT 061;7;34
42;01;2023.1;51;24M12;48;50;PAT AT 021;8;34
43;02;2023.1;37;46N12;25;50;PAT AT 036;8;34
44;01;2023.1;50;35N12;12;50;PJC BT 124;9;34
45;01;2023.1;43;35T45;50;50;PAT AT 021;10;34
46;02;2023.1;43;35N12;49;50;PAT AT 036;10;34
47;01;2023.1;17;35M12;35;35;PJC BT 069;11;34
48;02;2023.1;46;35T23;39;40;PJC BT 069;11;34
49;03;2023.1;39;24T23;35;35;PJC BT 069;11;34
50;01;2023.1;15;35T23;37;50;PAT AT 053;12;34
51;02;2023.1;15;24N34;31;50;PAT AT 061;12;34
52;01;2023.1;4;46M34;53;53;PAT AT 069;13;34
53;02;2023.1;37;24M34;40;50;PAT AT 068;13;34
54;01;2023.1;16;24N12;39;40;PAT AT 085;14;34
55;02;2023.1;22;35M12;39;50;PAT AT 124;14;34
56;02;2023.1;21;35M12;39;50;PAT AT 124;14;34
57;01;2023.1;2;246M12;22;40;PJC BT 093;15;34
58;01;2023.1;44;24T23;48;50;PAT AT 037;16;34
59;02;2023.1;20;35N34;24;50;PAT AT 028;16;34
60;03;2023.1;38;35M12;49;50;PAT AT 125;16;34
61;01;2023.1;32;24T23;39;40;PJC BT 053;17;34
62;02;2023.1;10;35T45;36;40;BSA N A1 29/41;17;34
63;02;2023.1;29;6M34;46;50;PJC BT 029;18;34
64;01;2023.1;3;35M5  35T1;48;50;PJC BT 012;19;34
65;01;2023.1;23;24N12;22;50;PAT AT 068;20;34
66;01;2023.1;28;245T45;33;50;PAT AT 053;21;34
67;01;2023.1;52;24T45;30;32;PJC BT 085;22;34
68;01;2023.1;4;24T45;40;40;PJC BT 044;23;34
69;01;2023.1;53;35N12;13;30;PJC BT 108;24;34
70;01;2023.1;41;24T45;38;45;PJC BT 028;25;34
71;02;2023.1;18;24N12;48;50;PJC BT 068;25;34
72;01;2023.1;46;35M34;12;20;PJC BT 044;26;34
73;01;2023.1;30;6M34;58;60;FT BT-13/15 (Auditório);27;34
74;01;2023.1;26;24T23;50;50;PAT AT 044;28;34
75;02;2023.1;18;35N12;48;50;PAT AT 068;28;34
76;01;2023.1;6;46T23;28;30;PAT AT 060;29;34
77;01;2023.1;16;35N34;39;40;PAT AT 029;30;34
78;02;2023.1;16;35M34;39;40;PAT AT 140;30;34
79;03;2023.1;47;35M34;50;50;PAT AT 124;30;34
80;01;2023.1;48;35M12;38;50;PAT AT 117;31;34
81;01;2023.1;10;35T23;39;40;BSA N AT 29/41;32;34
82;01;2023.1;45;6M34;39;40;PAT AT 045;33;34
83;01;2023.1;27;24M34;49;50;PAT AT 061;34;34
84;02;2023.1;27;24N12;47;50;PAT AT 069;34;34
85;01;2023.1;13;35M34;33;35;LINF 04;35;34
86;01;2023.1;12;35T45;48;50;PAT AT 060;36;34
87;01;2023.1;23;24T45;19;40;PJC BT 053;37;34
88;01;2023.1;1;24M12;26;40;PJC BT 092;38;34
89;03;2023.1;29;2N34;39;40;PJC BT 124;39;34
90;03;2023.1;33;2N34;39;40;PJC BT 124;39;34
91;01;2023.1;31;7M12  6N12;21;50;PAT AT 029;40;34
92;01;2023.1;33;35M5  3T1 5T12;22;50;PJC BT 061;41;34
93;02;2023.1;29;2N12;21;50;PJC BT 124;42;34
94;01;2023.1;33;6N12;32;50;PAT AT 037;43;34
95;01;2023.1;40;6N12;32;50;PAT AT 037;43;34
96;01;2023.1;33;6N12;2;50;PAT AT 044;44;34
97;01;2023.1;40;6N12;2;50;PAT AT 044;44;34
98;01;2023.1;33;6N34;10;10;PAT AT 029;45;34
99;01;2023.1;40;6N34;10;10;PAT AT 029;45;34
100;02;2023.1;40;6N34;4;10;PAT AT 020;45;34
101;02;2023.1;33;6N34;4;10;PAT AT 020;45;34
