id;turma;periodo;professor;horario;vagas_ocupadas;total_vagas;local
1;except Avon Bacon;Group;hack nulla functionalities;perferendis tensely;transmitting unto;Gasoline purple Avon;synthesize Blues Bicycle
2;yippee Fresh protocol;pressure Generic;Chief;Southwest;following South AGP;wireless orchid Hyundai;Integration
3;stable;revolutionary;Gorgeous Mouse;Tunisian Ball against;RAM Intranet;payment Southeast;Functionality Quality indexing
4;SUV reconvene;Male;Maserati Principal constraint;World;tan;Chrysler;Corporate Helium
5;Metrics label Grove;programming;Cheese rejigger;eligendi Metal;Marketing Elegant dolores;virtual West;system Granite
6;Jewelery;Mouse Genderflux;Kwacha Chief;global;scold maroon odit;drat;SMTP
7;Toys Abshire;female Brunei cyan;Home;Borders matrix notwithstanding;fuchsia Northeast;Ytterbium;Associate Northwest
8;Dominican female Sedan;Soft;Hatchback;Hybrid where;Global Underpass;HDD;Principal tripod Handmade
9;woman;Hop Hybrid female;Music Streamlined;Borders PCI Northeast;newton;Tesla;kindheartedly gladly woman
10;Hybrid pink Account;override indigo;Metal;Functionality Soul copy;Pop Einsteinium;Pants;gah magnetic
